Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
0.625,-0.275262,1.37404,1.6493,-0.63438,-1.11115,1.74553
0.63,-0.282963,1.25025,1.53321,-0.55846,-1.04857,1.60703
0.635,-0.256973,1.1543,1.41128,-0.518073,-0.963163,1.48124
0.64,-0.212432,1.08117,1.2936,-0.501564,-0.869506,1.37107
0.645,-0.164554,1.02477,1.18933,-0.496648,-0.781663,1.27831
0.65,-0.123955,0.982095,1.10605,-0.495447,-0.710143,1.20559
0.655,-0.0948492,0.950717,1.04557,-0.494135,-0.658419,1.15255
0.66,-0.0764314,0.927978,1.00441,-0.491641,-0.624024,1.11566
0.665,-0.0655913,0.911814,0.977406,-0.488567,-0.602174,1.09074
0.67,-0.0586758,0.900495,0.95917,-0.486024,-0.587653,1.07368
0.675,-0.053003,0.892916,0.945919,-0.484924,-0.576728,1.06165
0.68,-0.0481016,0.889277,0.937379,-0.485653,-0.568967,1.05462
0.685,-0.0450673,0.889271,0.934339,-0.487401,-0.56546,1.05286
0.69,-0.0441818,0.890908,0.93509,-0.488857,-0.565383,1.05424
0.695,-0.044243,0.892852,0.937095,-0.489944,-0.566575,1.05652
0.7,-0.043531,0.895122,0.938653,-0.491666,-0.567064,1.05873
0.705,-0.0415674,0.897448,0.939015,-0.494142,-0.566139,1.06028
0.71,-0.0386988,0.899717,0.938416,-0.497109,-0.564137,1.06125
0.715,-0.0346066,0.901883,0.93649,-0.500722,-0.560662,1.06138
0.72,-0.0296844,0.904504,0.934188,-0.505077,-0.556492,1.06157
0.725,-0.0254146,0.908185,0.933599,-0.509667,-0.553687,1.06335
0.73,-0.022328,0.913086,0.935414,-0.514279,-0.552952,1.06723
0.735,-0.0199964,0.918581,0.938577,-0.518798,-0.553433,1.07223
0.74,-0.0177608,0.923116,0.940877,-0.522707,-0.553469,1.07618
0.745,-0.0148926,0.926377,0.94127,-0.526246,-0.55204,1.07829
0.75,-0.0106803,0.929312,0.939993,-0.530372,-0.548871,1.07924
0.755,-0.00471699,0.933629,0.938346,-0.536307,-0.544477,1.08078
0.76,0.00273762,0.939273,0.936536,-0.54387,-0.539128,1.083
0.765,0.0108874,0.9446,0.933713,-0.551651,-0.532793,1.08444
0.77,0.0191271,0.949584,0.930457,-0.559285,-0.526156,1.08544
0.775,0.027284,0.955466,0.928182,-0.567391,-0.520134,1.08752
0.78,0.0354896,0.962208,0.926718,-0.57602,-0.514551,1.09057
0.785,0.0441938,0.968653,0.924459,-0.584767,-0.508221,1.09299
0.79,0.0539198,0.973983,0.920063,-0.59346,-0.500068,1.09353
0.795,0.0649417,0.978032,0.913091,-0.602161,-0.489679,1.09184
0.8,0.076986,0.981108,0.904122,-0.610891,-0.477547,1.08844
0.805,0.0880048,0.983056,0.895052,-0.618377,-0.465948,1.08433
0.81,0.0949355,0.984376,0.889441,-0.623141,-0.458708,1.08185
0.815,0.0964582,0.985278,0.88882,-0.62454,-0.45747,1.08201
0.82,0.0942133,0.985376,0.891163,-0.623301,-0.460119,1.08342
0.825,0.0906512,0.98466,0.894009,-0.620831,-0.463819,1.08465
0.83,0.0875332,0.983542,0.896009,-0.618385,-0.466774,1.08516
0.835,0.0855628,0.983137,0.897574,-0.617014,-0.468815,1.08583
0.84,0.0835687,0.983368,0.8998,-0.615996,-0.471251,1.08725
0.845,0.0798312,0.984594,0.904763,-0.614546,-0.476274,1.09082
0.85,0.0737379,0.988005,0.914267,-0.612997,-0.48528,1.09828
0.855,0.0652584,0.993372,0.928114,-0.6112,-0.49817,1.10937
0.86,0.0546939,0.998746,0.944053,-0.608204,-0.513471,1.12168
0.865,0.0427255,1.00229,0.959562,-0.603338,-0.529336,1.13267
0.87,0.0296439,1.00276,0.973117,-0.596059,-0.544714,1.14077
0.875,0.0156236,1.00086,0.985238,-0.586868,-0.559807,1.14667
0.88,0.00121281,0.997684,0.996471,-0.576713,-0.574612,1.15133
0.885,-0.0130034,0.993912,1.00692,-0.566328,-0.58885,1.15518
0.89,-0.0259813,0.990206,1.01619,-0.556695,-0.601696,1.15839
0.895,-0.0368408,0.986422,1.02326,-0.548241,-0.612051,1.16029
0.9,-0.0453754,0.981926,1.0273,-0.540718,-0.61931,1.16003
0.905,-0.0516758,0.976929,1.02861,-0.534195,-0.6237,1.1579
0.91,-0.0560021,0.972,1.028,-0.528851,-0.62585,1.1547
0.915,-0.0580753,0.968663,1.02674,-0.525728,-0.626317,1.15205
0.92,-0.0569353,0.967669,1.0246,-0.525812,-0.624427,1.15024
0.925,-0.0529644,0.968537,1.0215,-0.528606,-0.620343,1.14895
0.93,-0.0494118,0.970757,1.02017,-0.531939,-0.617523,1.14946
0.935,-0.0495835,0.97376,1.02334,-0.533573,-0.619454,1.15303
0.94,-0.0530386,0.976272,1.02931,-0.533029,-0.624894,1.15792
0.945,-0.0564799,0.978143,1.03462,-0.532122,-0.629948,1.16207
0.95,-0.0585449,0.980332,1.03888,-0.532193,-0.633596,1.16579
0.955,-0.0598674,0.982966,1.04283,-0.532951,-0.636644,1.16959
0.96,-0.0610415,0.985538,1.04658,-0.533758,-0.639485,1.17324
0.965,-0.0621498,0.987741,1.04989,-0.53439,-0.642037,1.17643
0.97,-0.0628674,0.989538,1.05241,-0.535013,-0.643903,1.17892
0.975,-0.0629198,0.991243,1.05416,-0.535968,-0.644948,1.18092
0.98,-0.0620152,0.992771,1.05479,-0.537372,-0.644786,1.18216
0.985,-0.0601163,0.994013,1.05413,-0.539185,-0.64331,1.18249
0.99,-0.0577013,0.994196,1.0519,-0.540685,-0.640627,1.18131
0.995,-0.0552724,0.992456,1.04773,-0.541083,-0.636817,1.1779
1,-0.0533499,0.989202,1.04255,-0.540314,-0.632719,1.17303
1.005,-0.0521999,0.987252,1.03945,-0.539852,-0.630265,1.17012
1.01,-0.0517681,0.988284,1.04005,-0.540697,-0.630362,1.17106
1.015,-0.0519769,0.991256,1.04323,-0.542293,-0.63232,1.17461
1.02,-0.0524326,0.994278,1.04671,-0.543775,-0.63459,1.17837
1.025,-0.0526808,0.996029,1.04871,-0.544642,-0.635888,1.18053
1.03,-0.0523419,0.995412,1.04775,-0.544482,-0.63514,1.17962
1.035,-0.05072,0.992626,1.04335,-0.543809,-0.631659,1.17547
1.04,-0.0489424,0.989328,1.03827,-0.542931,-0.627702,1.17063
1.045,-0.0497005,0.986223,1.03592,-0.540701,-0.626785,1.16749
1.05,-0.0539098,0.982847,1.03676,-0.536322,-0.629696,1.16602
1.055,-0.0594312,0.97972,1.03915,-0.531329,-0.634266,1.16559
1.06,-0.0633172,0.978118,1.04144,-0.52816,-0.637829,1.16599
1.065,-0.064474,0.976713,1.04119,-0.526681,-0.638353,1.16503
1.07,-0.0637705,0.973911,1.03768,-0.52547,-0.635924,1.16139
1.075,-0.0628577,0.969519,1.03238,-0.523461,-0.632333,1.15579
1.08,-0.0626797,0.963714,1.02639,-0.520212,-0.628777,1.14899
1.085,-0.0634626,0.957492,1.02095,-0.516168,-0.626088,1.14226
1.09,-0.0647,0.952904,1.0176,-0.512805,-0.624868,1.13767
1.095,-0.0658366,0.950679,1.01652,-0.510864,-0.624896,1.13576
1.1,-0.067111,0.949896,1.01701,-0.509676,-0.625915,1.13559
1.105,-0.0688934,0.949923,1.01882,-0.508662,-0.627989,1.13665
1.11,-0.0708237,0.951133,1.02196,-0.508247,-0.630917,1.13916
1.115,-0.0719745,0.953017,1.02499,-0.50867,-0.633334,1.142
1.12,-0.0712117,0.953934,1.02515,-0.50964,-0.632982,1.14262
1.125,-0.0686499,0.951764,1.02041,-0.509866,-0.628771,1.13864
1.13,-0.065833,0.947622,1.01346,-0.509101,-0.623127,1.13223
1.135,-0.0638842,0.945152,1.00904,-0.5088,-0.619451,1.12825
1.14,-0.0625194,0.945971,1.00849,-0.510061,-0.618348,1.12841
1.145,-0.0617424,0.950616,1.01236,-0.513191,-0.620132,1.13332
1.15,-0.0622831,0.959513,1.0218,-0.518016,-0.625893,1.14391
1.155,-0.0645262,0.971975,1.0365,-0.523916,-0.635678,1.15959
1.16,-0.0667856,0.986748,1.05353,-0.53114,-0.646816,1.17796
1.165,-0.0680457,1.00236,1.0704,-0.539426,-0.657284,1.19671
1.17,-0.069041,1.01734,1.08638,-0.5475,-0.667083,1.21458
1.175,-0.0699049,1.03097,1.10088,-0.554871,-0.67595,1.23082
1.18,-0.0699382,1.04372,1.11365,-0.562211,-0.683347,1.24556
1.185,-0.0685242,1.05609,1.12461,-0.570168,-0.688856,1.25902
1.19,-0.0657179,1.06817,1.13388,-0.578764,-0.692591,1.27135
1.195,-0.0624539,1.07956,1.14201,-0.587224,-0.695397,1.28262
1.2,-0.0595946,1.08914,1.14874,-0.594411,-0.697632,1.29204
1.205,-0.0565767,1.09632,1.15289,-0.600294,-0.698288,1.29858
1.21,-0.052523,1.10042,1.15295,-0.605006,-0.695979,1.30098
1.215,-0.0477828,1.09911,1.14689,-0.606984,-0.689747,1.29673
1.22,-0.0439039,1.08808,1.13199,-0.602857,-0.6789,1.28176
1.225,-0.0427108,1.0649,1.10761,-0.59016,-0.664137,1.2543
1.23,-0.0446907,1.03225,1.07694,-0.570166,-0.647572,1.21774
1.235,-0.0484337,0.996974,1.04541,-0.547639,-0.631529,1.17917
1.24,-0.0520203,0.96497,1.01699,-0.527091,-0.617193,1.14428
1.245,-0.0547712,0.939359,0.994131,-0.510717,-0.605583,1.1163
1.25,-0.0571702,0.921065,0.978235,-0.49877,-0.597791,1.09656
1.255,-0.0592396,0.90746,0.966699,-0.48972,-0.592326,1.08205
1.26,-0.0607169,0.896584,0.957301,-0.482588,-0.587752,1.07034
1.265,-0.0622066,0.888808,0.951014,-0.477238,-0.584983,1.06222
1.27,-0.0636524,0.883788,0.94744,-0.473505,-0.583754,1.05726
1.275,-0.0622192,0.881188,0.943407,-0.472832,-0.580598,1.05343
1.28,-0.0528568,0.8846,0.937456,-0.480207,-0.571757,1.05196
1.285,-0.030355,0.900687,0.931042,-0.502486,-0.555062,1.05755
1.29,0.00530239,0.93956,0.934257,-0.545516,-0.536332,1.08185
1.295,0.0449563,1.01336,0.968399,-0.611016,-0.53315,1.14417
1.3,0.0774596,1.13458,1.05713,-0.699774,-0.56561,1.26538
1.305,0.0948865,1.30451,1.20963,-0.807943,-0.643595,1.45154
1.31,0.087418,1.49256,1.40514,-0.912198,-0.760786,1.67298
1.315,0.0444693,1.63955,1.59508,-0.972266,-0.895243,1.86751
1.32,-0.0345631,1.69054,1.72511,-0.956081,-1.01595,1.97203
1.325,-0.133053,1.63245,1.7655,-0.865677,-1.09613,1.96181
1.33,-0.221176,1.50398,1.72516,-0.740628,-1.12372,1.86435
1.335,-0.272971,1.36079,1.63376,-0.628053,-1.10085,1.72891
1.34,-0.279634,1.23651,1.51614,-0.552452,-1.03679,1.58924
1.345,-0.249721,1.13811,1.38783,-0.512913,-0.945443,1.45836
1.35,-0.200024,1.06073,1.26075,-0.496927,-0.843379,1.34031
1.355,-0.146955,0.998969,1.14592,-0.49191,-0.746444,1.23835
1.36,-0.102651,0.950194,1.05285,-0.489329,-0.667126,1.15645
1.365,-0.0726618,0.914046,0.986708,-0.485773,-0.611627,1.0974
1.37,-0.0556037,0.889274,0.944878,-0.48132,-0.577628,1.05895
1.375,-0.0463592,0.873038,0.919397,-0.477283,-0.557579,1.03486
1.38,-0.0410413,0.861576,0.902617,-0.473736,-0.544821,1.01856
1.385,-0.0378973,0.853529,0.891426,-0.470905,-0.536545,1.00745
1.39,-0.0359221,0.849106,0.885028,-0.469492,-0.531711,1.0012
1.395,-0.0345635,0.846954,0.881517,-0.469033,-0.528899,0.997932
1.4,-0.0334626,0.844313,0.877776,-0.468145,-0.526103,0.994248
1.405,-0.0316282,0.840705,0.872333,-0.46712,-0.521902,0.989022
1.41,-0.0274718,0.838623,0.866095,-0.468318,-0.515901,0.984219
1.415,-0.0207583,0.839355,0.860113,-0.472617,-0.508571,0.981188
1.42,-0.0138116,0.841824,0.855636,-0.478053,-0.501975,0.980028
1.425,-0.00946887,0.844386,0.853855,-0.482039,-0.49844,0.980479
1.43,-0.00825229,0.846959,0.855211,-0.484227,-0.498521,0.982748
1.435,-0.00885492,0.850047,0.858902,-0.485662,-0.500999,0.986661
1.44,-0.00906029,0.853526,0.862586,-0.487552,-0.503245,0.990797
1.445,-0.00706449,0.85605,0.863114,-0.490162,-0.502398,0.992559
1.45,-0.00267833,0.857217,0.859896,-0.493368,-0.498007,0.991375
1.455,0.00321791,0.858316,0.855098,-0.497407,-0.491833,0.98924
1.46,0.00986765,0.860272,0.850404,-0.502375,-0.485284,0.987659
1.465,0.0166149,0.862957,0.846342,-0.507821,-0.479043,0.986864
1.47,0.0228467,0.865475,0.842629,-0.512873,-0.473301,0.986174
1.475,0.02928,0.868253,0.838973,-0.518191,-0.467476,0.985667
1.48,0.0363664,0.872009,0.835642,-0.52445,-0.461462,0.985913
1.485,0.0432741,0.876762,0.833488,-0.531183,-0.45623,0.987413
1.49,0.0494843,0.88209,0.832606,-0.537844,-0.452135,0.989979
1.495,0.0557114,0.886823,0.831111,-0.544172,-0.447677,0.991849
1.5,0.0628742,0.889528,0.826654,-0.54987,-0.440968,0.990838
1.505,0.0712756,0.890749,0.819473,-0.555425,-0.431972,0.987397
1.51,0.0810762,0.891679,0.810602,-0.56162,-0.421192,0.982812
