Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
0.725,-0.0935738,-0.023731,0.0698428,0.0677259,-0.0943486,0.0266227
0.73,-0.0865494,-0.0194555,0.0670938,0.0612019,-0.0887059,0.027504
0.735,-0.0859787,-0.0128754,0.0731033,0.0570734,-0.091846,0.0347726
0.74,-0.0882222,-0.00504789,0.0831743,0.0538495,-0.0989558,0.0451063
0.745,-0.0918627,0.00333738,0.0952001,0.0511101,-0.108001,0.0568906
0.75,-0.0951263,0.0116794,0.106806,0.0481781,-0.116585,0.0684074
0.755,-0.0951658,0.0205424,0.115708,0.0430838,-0.121748,0.0786642
0.76,-0.091051,0.0306808,0.121732,0.0348548,-0.12285,0.0879954
0.765,-0.0853442,0.0410554,0.1264,0.0255701,-0.12225,0.0966801
0.77,-0.0810926,0.0494784,0.130571,0.0182525,-0.122204,0.103951
0.775,-0.0791054,0.0556217,0.134727,0.0135583,-0.123456,0.109898
0.78,-0.0787624,0.0610537,0.139816,0.0102242,-0.126196,0.115972
0.785,-0.0786352,0.0660199,0.144655,0.00728341,-0.128917,0.121633
0.79,-0.075427,0.0705288,0.145956,0.00282798,-0.127815,0.124987
0.795,-0.0655883,0.075953,0.141541,-0.00598406,-0.119586,0.12557
0.8,-0.0505891,0.0828066,0.133396,-0.0186008,-0.106224,0.124824
0.805,-0.0354369,0.0897988,0.125236,-0.0313858,-0.0927644,0.12415
0.81,-0.0229987,0.095185,0.118184,-0.0416768,-0.0815117,0.123188
0.815,-0.0132595,0.0982797,0.111539,-0.0490865,-0.0720525,0.121139
0.82,-0.005249,0.0993893,0.104638,-0.0543519,-0.0634434,0.117795
0.825,0.0010622,0.0997685,0.0987063,-0.0582146,-0.0563748,0.114589
0.83,0.00350614,0.102068,0.0985619,-0.0609532,-0.0548804,0.115834
0.835,0.000858367,0.106594,0.105736,-0.0620376,-0.0605509,0.122589
0.84,-0.00512335,0.10979,0.114913,-0.0604291,-0.069303,0.129732
0.845,-0.0115731,0.109769,0.121342,-0.0566931,-0.0767384,0.133432
0.85,-0.0160942,0.107924,0.124019,-0.0530181,-0.0808941,0.133912
0.855,-0.0188025,0.106379,0.125181,-0.050562,-0.0831289,0.133691
0.86,-0.0235285,0.10726,0.130789,-0.0483425,-0.089095,0.137437
0.865,-0.0334726,0.110948,0.144421,-0.0447306,-0.102707,0.147437
0.87,-0.0474,0.114843,0.162243,-0.0389383,-0.121038,0.159976
0.875,-0.0628039,0.115457,0.178261,-0.0303995,-0.139179,0.169579
0.88,-0.0779929,0.112162,0.190155,-0.0197275,-0.154815,0.174543
0.885,-0.0909593,0.106044,0.197004,-0.00870941,-0.166255,0.174965
0.89,-0.101192,0.0975846,0.198777,0.00208266,-0.173187,0.171104
0.895,-0.110325,0.0883956,0.198721,0.0126612,-0.178428,0.165767
0.9,-0.119773,0.0807462,0.200519,0.022532,-0.18492,0.162388
0.905,-0.128288,0.0746316,0.202919,0.0309783,-0.191222,0.160244
0.91,-0.132962,0.0672641,0.200226,0.0379309,-0.192367,0.154436
0.915,-0.133421,0.0575417,0.190963,0.0438092,-0.187283,0.143474
0.92,-0.131408,0.0482716,0.179679,0.0479987,-0.179606,0.131608
0.925,-0.126629,0.0433917,0.170021,0.0480571,-0.171271,0.123214
0.93,-0.120218,0.0441276,0.164346,0.0439309,-0.164293,0.120362
0.935,-0.118099,0.0495688,0.167668,0.0395658,-0.164987,0.125422
0.94,-0.124761,0.0574951,0.182256,0.0388357,-0.177256,0.13842
0.945,-0.138359,0.0647696,0.203129,0.0424868,-0.197158,0.154671
0.95,-0.153271,0.0701782,0.223449,0.0479735,-0.217499,0.169526
0.955,-0.16375,0.0741043,0.237854,0.051757,-0.231866,0.180109
0.96,-0.166825,0.0765139,0.243339,0.0521409,-0.236808,0.184667
0.965,-0.163763,0.0772747,0.241038,0.0499343,-0.233712,0.183778
0.97,-0.157143,0.076548,0.233691,0.0465314,-0.225648,0.179116
0.975,-0.148716,0.0755671,0.224283,0.0422325,-0.215351,0.173118
0.98,-0.14108,0.0757781,0.216858,0.0377019,-0.206655,0.168953
0.985,-0.136554,0.0785333,0.215088,0.0334984,-0.20302,0.169522
0.99,-0.134224,0.0847238,0.218948,0.0285791,-0.203904,0.175325
0.995,-0.132186,0.0918901,0.224076,0.0232649,-0.205688,0.182423
1,-0.13114,0.0973055,0.228446,0.0195347,-0.207607,0.188073
1.005,-0.13262,0.099935,0.232555,0.0188704,-0.210833,0.191963
1.01,-0.136358,0.0997976,0.236155,0.021108,-0.21507,0.193962
1.015,-0.139936,0.0977394,0.237676,0.0243624,-0.218014,0.193652
1.02,-0.140987,0.0943867,0.235374,0.0269049,-0.217292,0.190387
1.025,-0.139056,0.0903788,0.229435,0.0281036,-0.212748,0.184644
1.03,-0.134577,0.0870917,0.221669,0.0274157,-0.205679,0.178263
1.035,-0.127938,0.0851234,0.213061,0.0247191,-0.196876,0.172157
1.04,-0.121,0.0838333,0.204833,0.0214581,-0.18812,0.166662
1.045,-0.117067,0.0831342,0.200201,0.019591,-0.183174,0.163584
1.05,-0.118818,0.0831033,0.201921,0.0206197,-0.185178,0.164559
1.055,-0.127122,0.0831585,0.21028,0.0253822,-0.194799,0.169417
1.06,-0.13939,0.0827453,0.222135,0.0327039,-0.208727,0.176023
1.065,-0.150792,0.081839,0.232631,0.03981,-0.221369,0.181559
1.07,-0.159329,0.0806851,0.240014,0.0454048,-0.23056,0.185155
1.075,-0.164753,0.0794549,0.244208,0.0492471,-0.236114,0.186867
1.08,-0.166288,0.0784638,0.244752,0.0507054,-0.237314,0.186609
1.085,-0.164576,0.0774121,0.241988,0.0503238,-0.234729,0.184405
1.09,-0.16128,0.0762706,0.23755,0.0490801,-0.230265,0.181185
1.095,-0.158173,0.0768935,0.235066,0.0469265,-0.227036,0.18011
1.1,-0.15559,0.0808901,0.23648,0.0431281,-0.226362,0.183234
1.105,-0.153456,0.0873759,0.240832,0.0381515,-0.227642,0.189491
1.11,-0.15196,0.0952818,0.247242,0.0327234,-0.23048,0.197756
1.115,-0.151435,0.105305,0.25674,0.0266334,-0.23566,0.209026
1.12,-0.151951,0.117524,0.269475,0.0198763,-0.24331,0.223434
1.125,-0.150936,0.129435,0.280371,0.0124137,-0.249015,0.236601
1.13,-0.144958,0.139765,0.284723,0.00299786,-0.248076,0.245079
1.135,-0.135222,0.151189,0.286411,-0.00921817,-0.24343,0.252648
1.14,-0.127731,0.166539,0.29427,-0.0224061,-0.243642,0.266048
1.145,-0.126302,0.184841,0.311144,-0.0337975,-0.25256,0.286357
1.15,-0.130349,0.203346,0.333695,-0.0421448,-0.267915,0.31006
1.155,-0.137636,0.220132,0.357768,-0.0476289,-0.286022,0.333651
1.16,-0.144728,0.233592,0.378321,-0.0513059,-0.301982,0.353288
