Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
0.935,-0.221747,0.289323,0.511069,-0.0390148,-0.423092,0.462106
0.94,-0.219411,0.286041,0.505452,-0.0384687,-0.4185,0.456968
0.945,-0.217218,0.284336,0.501554,-0.038751,-0.414983,0.453734
0.95,-0.215422,0.284026,0.499448,-0.0396083,-0.41273,0.452339
0.955,-0.214047,0.284087,0.498134,-0.0404376,-0.411178,0.451615
0.96,-0.212724,0.283755,0.49648,-0.0410099,-0.409459,0.450469
0.965,-0.211152,0.282008,0.49316,-0.0409089,-0.406634,0.447543
0.97,-0.209335,0.279873,0.489208,-0.0407252,-0.403304,0.444029
0.975,-0.207398,0.279566,0.486964,-0.0416661,-0.40089,0.442556
0.98,-0.205346,0.28231,0.487656,-0.0444351,-0.400104,0.44454
0.985,-0.203063,0.287501,0.490564,-0.0487507,-0.400465,0.449216
0.99,-0.200522,0.292423,0.492945,-0.0530588,-0.400374,0.453432
0.995,-0.197697,0.295916,0.493613,-0.0567069,-0.399128,0.455835
1,-0.194465,0.299711,0.494176,-0.0607641,-0.397587,0.458351
1.005,-0.191057,0.30403,0.495088,-0.0652249,-0.396146,0.461371
1.01,-0.187889,0.308212,0.4961,-0.0694685,-0.394901,0.46437
1.015,-0.184807,0.312551,0.497358,-0.0737532,-0.393847,0.467601
1.02,-0.181197,0.317918,0.499115,-0.0789361,-0.392778,0.471714
1.025,-0.176814,0.324765,0.501579,-0.0854196,-0.39167,0.477089
1.03,-0.171665,0.332185,0.50385,-0.0926758,-0.390009,0.482684
1.035,-0.16553,0.338938,0.504468,-0.100117,-0.386824,0.486941
1.04,-0.158322,0.344884,0.503206,-0.107712,-0.381933,0.489645
1.045,-0.15041,0.351702,0.502112,-0.116216,-0.376733,0.492949
1.05,-0.142428,0.359331,0.501759,-0.125228,-0.371922,0.49715
1.055,-0.134819,0.366373,0.501192,-0.133688,-0.367201,0.500889
1.06,-0.127727,0.37256,0.500287,-0.141354,-0.362584,0.503938
1.065,-0.121138,0.378157,0.499295,-0.14839,-0.358207,0.506597
1.07,-0.115274,0.382109,0.497383,-0.154057,-0.353718,0.507774
1.075,-0.110496,0.383862,0.494358,-0.157828,-0.349212,0.50704
1.08,-0.106986,0.384685,0.491671,-0.16033,-0.345635,0.505964
1.085,-0.104471,0.385715,0.490185,-0.162376,-0.343325,0.505701
1.09,-0.102632,0.386852,0.489484,-0.164094,-0.341858,0.505953
1.095,-0.101667,0.387948,0.489615,-0.165284,-0.341377,0.506661
1.1,-0.102016,0.389171,0.491187,-0.165789,-0.342486,0.508275
1.105,-0.103923,0.39084,0.494763,-0.165652,-0.345651,0.511303
1.11,-0.107525,0.393357,0.500882,-0.165026,-0.351263,0.516289
1.115,-0.113229,0.39657,0.509798,-0.163587,-0.359704,0.523291
1.12,-0.121194,0.400133,0.521326,-0.161045,-0.370959,0.532004
1.125,-0.13121,0.403438,0.534648,-0.157171,-0.384434,0.541604
1.13,-0.143208,0.405361,0.548569,-0.151354,-0.399397,0.550751
1.135,-0.156665,0.405767,0.562433,-0.143819,-0.415171,0.55899
1.14,-0.170617,0.405111,0.575728,-0.135385,-0.430902,0.566287
1.145,-0.184071,0.402973,0.587044,-0.126383,-0.445203,0.571587
1.15,-0.196462,0.398884,0.595346,-0.116868,-0.45715,0.574018
1.155,-0.207437,0.393407,0.600844,-0.10737,-0.466661,0.574031
1.16,-0.216858,0.386942,0.6038,-0.0981983,-0.473807,0.572005
1.165,-0.224718,0.380094,0.604812,-0.0897065,-0.478929,0.568636
1.17,-0.231153,0.374596,0.605748,-0.0828168,-0.483185,0.566001
1.175,-0.236511,0.371086,0.607597,-0.0776972,-0.487345,0.565043
1.18,-0.241154,0.368391,0.609545,-0.0734605,-0.491151,0.564611
1.185,-0.245316,0.366109,0.611425,-0.0697399,-0.49464,0.56438
1.19,-0.249099,0.365358,0.614457,-0.067122,-0.498575,0.565697
1.195,-0.252428,0.366571,0.618999,-0.0659004,-0.503118,0.569019
1.2,-0.254851,0.369321,0.624171,-0.0660891,-0.507504,0.573593
1.205,-0.256155,0.372552,0.628707,-0.0672017,-0.510875,0.578076
1.21,-0.256604,0.375207,0.631811,-0.0684755,-0.512927,0.581402
1.215,-0.25659,0.376781,0.633371,-0.0693923,-0.513819,0.583211
1.22,-0.256164,0.377929,0.634093,-0.0703012,-0.51399,0.584291
1.225,-0.255068,0.380861,0.63593,-0.0726265,-0.514418,0.587044
1.23,-0.253749,0.385157,0.638906,-0.0758686,-0.515374,0.591243
1.235,-0.252579,0.389508,0.642087,-0.0790559,-0.516536,0.595592
1.24,-0.251373,0.393218,0.644591,-0.0818944,-0.517284,0.599179
1.245,-0.250018,0.395135,0.645153,-0.0837835,-0.516827,0.600611
1.25,-0.248841,0.3944,0.643241,-0.084038,-0.515044,0.599082
1.255,-0.248092,0.391596,0.639687,-0.082852,-0.512559,0.595411
1.26,-0.2476,0.388129,0.635729,-0.0811345,-0.50999,0.591125
1.265,-0.247088,0.384845,0.631933,-0.0795337,-0.507503,0.587036
1.27,-0.246621,0.382604,0.629224,-0.0785097,-0.505669,0.584179
1.275,-0.246197,0.382291,0.628487,-0.0785738,-0.504999,0.583573
1.28,-0.245745,0.3826,0.628345,-0.0790129,-0.504656,0.583669
1.285,-0.245336,0.382175,0.627512,-0.0790038,-0.503939,0.582943
1.29,-0.245338,0.38072,0.626058,-0.0781624,-0.503101,0.581263
1.295,-0.246201,0.377905,0.624106,-0.0760394,-0.502472,0.578511
1.3,-0.247613,0.374301,0.621914,-0.0731431,-0.502021,0.575164
1.305,-0.249034,0.370889,0.619923,-0.0703527,-0.501692,0.572045
1.31,-0.250142,0.368378,0.61852,-0.0682634,-0.501522,0.569786
1.315,-0.250828,0.366518,0.617346,-0.0667938,-0.50124,0.568034
1.32,-0.251224,0.364682,0.615905,-0.0655049,-0.500637,0.566142
1.325,-0.251397,0.362746,0.614142,-0.0642875,-0.499719,0.564006
1.33,-0.251382,0.360818,0.6122,-0.0631828,-0.498589,0.561772
1.335,-0.251546,0.358935,0.61048,-0.0620009,-0.497691,0.559692
1.34,-0.252057,0.356991,0.609048,-0.0605839,-0.497159,0.557743
1.345,-0.252771,0.354411,0.607182,-0.0586822,-0.496494,0.555176
1.35,-0.253402,0.350853,0.604255,-0.0562632,-0.495169,0.551432
1.355,-0.253948,0.346897,0.600845,-0.0536642,-0.493514,0.547179
1.36,-0.254472,0.343382,0.597854,-0.051332,-0.49209,0.543422
1.365,-0.255062,0.340789,0.595851,-0.0494946,-0.491275,0.54077
1.37,-0.255619,0.339586,0.595205,-0.0484783,-0.491223,0.539701
1.375,-0.255993,0.339219,0.595212,-0.0480504,-0.491444,0.539494
1.38,-0.256275,0.33749,0.593765,-0.0468892,-0.49077,0.53766
1.385,-0.256484,0.333068,0.589552,-0.0442156,-0.488459,0.532674
1.39,-0.25634,0.328218,0.584558,-0.0414992,-0.485492,0.526991
1.395,-0.25564,0.325743,0.581383,-0.0404743,-0.483255,0.52373
1.4,-0.25457,0.325692,0.580262,-0.0410624,-0.48199,0.523052
1.405,-0.253579,0.326134,0.579713,-0.0418901,-0.481101,0.522991
1.41,-0.252979,0.326068,0.579047,-0.0421982,-0.48037,0.522569
1.415,-0.252606,0.325976,0.578583,-0.0423601,-0.479887,0.522247
1.42,-0.25204,0.326336,0.578375,-0.0428948,-0.47944,0.522335
1.425,-0.251259,0.326707,0.577966,-0.0435602,-0.478753,0.522313
1.43,-0.250578,0.32638,0.576959,-0.0437642,-0.477778,0.521543
1.435,-0.250105,0.325385,0.57549,-0.0434629,-0.476657,0.52012
1.44,-0.249779,0.324646,0.574425,-0.0432245,-0.475854,0.519079
1.445,-0.249446,0.324938,0.574385,-0.043585,-0.475639,0.519224
1.45,-0.248924,0.325648,0.574573,-0.0442965,-0.475446,0.519742
1.455,-0.248169,0.325964,0.574133,-0.0449152,-0.474756,0.519671
1.46,-0.247436,0.326054,0.57349,-0.0453903,-0.473962,0.519352
1.465,-0.247094,0.325193,0.572287,-0.0450905,-0.473069,0.51816
1.47,-0.246957,0.322638,0.569596,-0.0436944,-0.471437,0.515131
1.475,-0.246962,0.319153,0.566116,-0.0416794,-0.469431,0.51111
1.48,-0.24734,0.316111,0.563451,-0.0397052,-0.46811,0.507816
1.485,-0.247874,0.314529,0.562403,-0.0384833,-0.467814,0.506297
1.49,-0.248173,0.314803,0.562977,-0.0384688,-0.468318,0.506786
1.495,-0.248039,0.316493,0.564533,-0.0395219,-0.469138,0.50866
1.5,-0.247477,0.318356,0.565834,-0.040922,-0.469565,0.510487
1.505,-0.24657,0.319672,0.566242,-0.0422058,-0.469277,0.511482
1.51,-0.245394,0.320755,0.566149,-0.0435094,-0.468544,0.512054
1.515,-0.244157,0.322398,0.566555,-0.0451729,-0.468065,0.513237
1.52,-0.243188,0.326999,0.570187,-0.0483885,-0.469602,0.51799
1.525,-0.242765,0.337228,0.579993,-0.0545379,-0.475019,0.529557
1.53,-0.242951,0.352542,0.595493,-0.0632726,-0.484075,0.547348
1.535,-0.243603,0.369609,0.613212,-0.0727496,-0.494682,0.567431
1.54,-0.244631,0.384996,0.629627,-0.0810398,-0.504753,0.585792
1.545,-0.245457,0.397808,0.643265,-0.0879594,-0.513104,0.601063
1.55,-0.244748,0.409702,0.65445,-0.0952367,-0.519152,0.614389
1.555,-0.242031,0.4218,0.663832,-0.10379,-0.523,0.626789
1.56,-0.238515,0.434178,0.672693,-0.112966,-0.526085,0.639052
1.565,-0.235767,0.446947,0.682714,-0.121925,-0.530285,0.65221
1.57,-0.234189,0.459329,0.693518,-0.129985,-0.535611,0.665596
1.575,-0.232868,0.469237,0.702105,-0.136467,-0.539806,0.676274
1.58,-0.230682,0.474743,0.705425,-0.140909,-0.540461,0.68137
1.585,-0.227098,0.473468,0.700566,-0.142242,-0.535586,0.677828
1.59,-0.223045,0.462637,0.685682,-0.138329,-0.524654,0.662982
1.595,-0.220126,0.442235,0.66236,-0.128234,-0.509504,0.637738
1.6,-0.219283,0.414928,0.63421,-0.112956,-0.492764,0.60572
1.605,-0.220103,0.386016,0.606119,-0.0957903,-0.477019,0.57281
1.61,-0.22192,0.360185,0.582105,-0.0798277,-0.464203,0.544031
1.615,-0.22443,0.33893,0.563359,-0.0661065,-0.45483,0.520936
1.62,-0.22719,0.322247,0.549436,-0.0548809,-0.448385,0.503266
1.625,-0.229703,0.309307,0.53901,-0.045959,-0.443817,0.489776
1.63,-0.231633,0.299863,0.531495,-0.0393926,-0.440592,0.479985
1.635,-0.232954,0.292583,0.525537,-0.0344266,-0.437915,0.472341
1.64,-0.233654,0.286199,0.519852,-0.0303369,-0.435037,0.465374
1.645,-0.23323,0.280807,0.514037,-0.0274684,-0.431435,0.458903
1.65,-0.229191,0.277616,0.506808,-0.0279583,-0.424929,0.452887
1.655,-0.217495,0.281961,0.499456,-0.0372193,-0.413932,0.451151
1.66,-0.194236,0.304805,0.499041,-0.0638367,-0.400264,0.4641
1.665,-0.161592,0.360814,0.522406,-0.115021,-0.394906,0.509927
1.67,-0.13171,0.466118,0.597829,-0.19307,-0.4212,0.61427
1.675,-0.119239,0.63197,0.751209,-0.296026,-0.502553,0.798578
1.68,-0.132175,0.849868,0.982043,-0.41436,-0.643293,1.05765
1.685,-0.172433,1.0742,1.24664,-0.520637,-0.819299,1.33994
1.69,-0.235516,1.2296,1.46512,-0.573934,-0.98186,1.55579
1.695,-0.310611,1.25519,1.5658,-0.545353,-1.08335,1.6287
1.7,-0.381724,1.14831,1.53004,-0.44259,-1.10375,1.54634
1.705,-0.431333,0.966007,1.39734,-0.308694,-1.05578,1.36448
1.71,-0.447781,0.77845,1.22623,-0.190912,-0.96649,1.1574
1.715,-0.430697,0.626374,1.05707,-0.112974,-0.858963,0.971937
1.72,-0.390207,0.517447,0.907654,-0.0734616,-0.74932,0.822782
1.725,-0.340355,0.443162,0.783517,-0.0593556,-0.648868,0.708224
1.73,-0.292919,0.393091,0.68601,-0.057834,-0.565185,0.623019
1.735,-0.254685,0.359783,0.614469,-0.0606784,-0.501806,0.562485
1.74,-0.227972,0.338356,0.566328,-0.06373,-0.458589,0.522319
1.745,-0.211855,0.325154,0.537009,-0.0654128,-0.432357,0.49777
1.75,-0.203593,0.316393,0.519986,-0.0651255,-0.417758,0.482884
1.755,-0.200076,0.309918,0.509994,-0.0634175,-0.409959,0.473376
1.76,-0.198684,0.306032,0.504716,-0.0619773,-0.406108,0.468086
1.765,-0.197268,0.304707,0.501975,-0.0620302,-0.403708,0.465738
1.77,-0.194786,0.305278,0.500064,-0.0637926,-0.401171,0.464964
1.775,-0.191607,0.306901,0.498508,-0.0665648,-0.398438,0.465003
1.78,-0.188469,0.309327,0.497796,-0.0697772,-0.396215,0.465992
1.785,-0.185627,0.312709,0.498337,-0.0733707,-0.394887,0.468257
1.79,-0.182983,0.316471,0.499454,-0.0770694,-0.394005,0.471074
1.795,-0.180517,0.319575,0.500091,-0.080285,-0.392949,0.473234
1.8,-0.1783,0.320962,0.499263,-0.0823658,-0.391191,0.473557
1.805,-0.176461,0.320718,0.497178,-0.0832868,-0.388925,0.472212
1.81,-0.175101,0.319669,0.49477,-0.0834665,-0.38675,0.470217
1.815,-0.173816,0.318918,0.492734,-0.0837743,-0.384833,0.468607
1.82,-0.171783,0.319063,0.490846,-0.0850321,-0.382569,0.467601
1.825,-0.168773,0.319594,0.488367,-0.0870764,-0.3794,0.466476
1.83,-0.164866,0.320777,0.485643,-0.090015,-0.375572,0.465587
1.835,-0.160147,0.323199,0.483346,-0.0941383,-0.371521,0.465659
1.84,-0.154943,0.327352,0.482294,-0.0995403,-0.367909,0.467449
